area,finding,status,required_change
experiment_runner,runner.py counts row['eligibility'],FIX_REQUIRED_BEFORE_M2_EXEC,Add explicit market-only mode and per-snapshot adapter; preserve legacy mode.
clustering_base,base.py filters row['eligibility'],FIX_REQUIRED_BEFORE_M2_EXEC,Use an explicitly configured eligibility field with no silent fallback in market-only mode.
input_loader,real loader requires verified identity and standard data-run layout,FIX_REQUIRED_BEFORE_M2_EXEC,Add narrow checksummed C8 market-only input adapter without weakening strict research path.
protocol,protocol 1.0 has no market-only eligibility/scope fields,FIX_REQUIRED_BEFORE_M2_EXEC,Version and validate explicit market-only scope after owner decisions.
K-Means tolerance,"seed, n_init and max_iter are explicit but convergence uses exact unchanged labels; no tolerance parameter",MANUAL_REVIEW_REQUIRED,Approve exact-label convergence or add/freeze an explicit tolerance contract.
feature_metadata,registry metadata is 1.5.0 while C8 rows are 1.6.0,MANUAL_REVIEW_REQUIRED,Resolve version/documentation contract without mutating C8.
feature_transform_metadata,registry says winsorize_then_snapshot_scale but q/scaler are unfrozen,MANUAL_REVIEW_REQUIRED,Approve outlier/scaling policy before config creation.
holdout,runner enforces development_end but has no sealed final-holdout workflow,MANUAL_REVIEW_REQUIRED,Approve boundary and implement one-use holdout guard before final evaluation.
GMM,fail-closed stub only,EXPECTED_GUARD,No current M2 approval.
DBSCAN,fail-closed stub; fixed-k/noise contract incompatible,EXPECTED_GUARD,Separate variable-cluster design before future approval.
Dynamic,abstract interface only,EXPECTED_GUARD,Separate explicit methodology/mentor approval required.
