layer,metric,implemented,classification,behavior
cluster_quality,silhouette,True,SECONDARY_DIAGNOSTIC,Supported; no single metric is frozen as selection objective.
cluster_quality,davies_bouldin,True,SECONDARY_DIAGNOSTIC,Supported; no single metric is frozen as selection objective.
cluster_quality,calinski_harabasz,True,SECONDARY_DIAGNOSTIC,Supported; no single metric is frozen as selection objective.
cluster_quality,inertia,True,SECONDARY_DIAGNOSTIC,Supported; no single metric is frozen as selection objective.
cluster_quality,cluster_balance,True,SECONDARY_DIAGNOSTIC,Supported; no single metric is frozen as selection objective.
temporal_stability,ARI,True,SECONDARY_DIAGNOSTIC,Shared-security comparison; alignment is separate from ARI/NMI.
temporal_stability,NMI,True,SECONDARY_DIAGNOSTIC,Shared-security comparison; alignment is separate from ARI/NMI.
temporal_stability,persistence_probability,True,SECONDARY_DIAGNOSTIC,Shared-security comparison; alignment is separate from ARI/NMI.
temporal_stability,migration_rate,True,SECONDARY_DIAGNOSTIC,Shared-security comparison; alignment is separate from ARI/NMI.
temporal_stability,transition_matrix,True,SECONDARY_DIAGNOSTIC,Shared-security comparison; alignment is separate from ARI/NMI.
temporal_stability,centroid_drift,True,SECONDARY_DIAGNOSTIC,Shared-security comparison; alignment is separate from ARI/NMI.
temporal_stability,entry_exit,True,SECONDARY_DIAGNOSTIC,Shared-security comparison; alignment is separate from ARI/NMI.
model_selection_firewall,future_return,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
model_selection_firewall,Sharpe,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
model_selection_firewall,ROI,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
model_selection_firewall,CAGR,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
model_selection_firewall,Sortino,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
model_selection_firewall,Calmar,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
model_selection_firewall,portfolio_alpha,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
model_selection_firewall,information_ratio,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
model_selection_firewall,turnover,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
model_selection_firewall,transaction_cost_adjusted_return,False,UNSUPPORTED,Forbidden for M2 algorithm/k/preprocessing selection.
