execution_order,security_id,ticker,exchange,pilot_role,priority_tier,methodology_edge_case,known_evidence_tags,history_tier,base_5y_target_start,base_5y_target_end,base_5y_status,target_start,target_end,identity_intervals,existing_history_status,existing_history_source_run,existing_history_contract,history_registry_reference,acquisition_action,crawl_required,crawl_allowed,estimated_quarter_ranges,estimated_pages,estimated_requests,blocking_reason
1,VCI:57,ACB,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2006-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""ACB""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
2,KBS:UPCOM:ACV,ACV,UPCOM,CORE_MARKET;METHODOLOGY_EDGE_CASE,TIER_A,YES,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE;KBS_MISSING_SESSION_CAFEF_EVIDENCE;PROVIDER_HISTORY_BOUNDARY_PROBE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2016-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""ACV""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
3,VCI:177,BID,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2014-01-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BID""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
4,VCI:1391,CTG,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2009-07-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CTG""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
5,KBS:HOSE:DGC,DGC,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2014-08-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DGC""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
6,KBS:HOSE:FPT,FPT,HOSE,CORE_MARKET;METHODOLOGY_EDGE_CASE,TIER_A,YES,CAFEF_EXISTING_EVIDENCE;CORPORATE_ACTION_WINDOW;REPRESENTATIVE_PILOT_EVIDENCE;KBS_MISSING_SESSION_CAFEF_EVIDENCE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2006-12-13"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""FPT""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
7,KBS:HOSE:GAS,GAS,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2012-05-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GAS""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
8,KBS:HOSE:GMD,GMD,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2002-04-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GMD""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
9,KBS:HOSE:HCM,HCM,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2009-05-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HCM""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
10,VCI:2353,HPG,HOSE,CORE_MARKET,TIER_A,NO,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,LONG_15Y_VALIDATION,2021-09-23,2026-09-23,SATISFIED_BY_EXISTING_LONG_HISTORY,2021-09-23,2026-09-23,"[{""effective_from"":""2007-11-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HPG""}]",LONG_HISTORY_COMPLETE,cafef-c1-solo-main-v2,CAFEF_C1_SOLO_RAW_CONTRACT_V2_3,artifacts/cafef_primary/history_registry_v1/manifest.json,REUSE_EXISTING_VALID_RAW,NO,YES,0,0,0,
