execution_order,security_id,ticker,exchange,pilot_role,priority_tier,selection_reason,known_evidence_tags,identity_status,identity_intervals,listing_date,target_start,target_end,history_target_reason,estimated_pages,estimated_requests,methodology_edge_case,crawl_allowed,blocking_reason
1,VCI:57,ACB,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""ACB""}]",2006-11-21,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
2,KBS:UPCOM:ACV,ACV,UPCOM,CORE_MARKET;METHODOLOGY_EDGE_CASE,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY;METHODOLOGY_COVERAGE,CAFEF_EXISTING_EVIDENCE;REPRESENTATIVE_PILOT_EVIDENCE;KBS_MISSING_SESSION_CAFEF_EVIDENCE;PROVIDER_HISTORY_BOUNDARY_PROBE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2016-11-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""UPCOM"",""ticker"":""ACV""}]",2016-11-21,2016-11-21,2026-09-23,LISTING_BOUNDARY,124,124,YES,YES,
3,VCI:177,BID,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-01-24"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""BID""}]",2014-01-24,2014-01-24,2026-09-23,LISTING_BOUNDARY,160,160,NO,YES,
4,VCI:1391,CTG,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-07-16"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""CTG""}]",2009-07-16,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
5,KBS:HOSE:DGC,DGC,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2014-08-26"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""DGC""}]",2014-08-26,2014-08-26,2026-09-23,LISTING_BOUNDARY,153,153,NO,YES,
6,KBS:HOSE:FPT,FPT,HOSE,CORE_MARKET;METHODOLOGY_EDGE_CASE,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY;METHODOLOGY_COVERAGE,CAFEF_EXISTING_EVIDENCE;CORPORATE_ACTION_WINDOW;REPRESENTATIVE_PILOT_EVIDENCE;KBS_MISSING_SESSION_CAFEF_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2006-12-13"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""FPT""}]",2006-12-13,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,YES,YES,
7,KBS:HOSE:GAS,GAS,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2012-05-21"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GAS""}]",2012-05-21,2012-05-21,2026-09-23,LISTING_BOUNDARY,181,181,NO,YES,
8,KBS:HOSE:GMD,GMD,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2002-04-22"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""GMD""}]",2002-04-22,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
9,KBS:HOSE:HCM,HCM,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2009-05-19"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HCM""}]",2009-05-19,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
10,VCI:2353,HPG,HOSE,CORE_MARKET,TIER_A,CORE_MARKET;HIGH_PROJECT_RELEVANCE;MARKET_IMPORTANCE_PROXY,REPRESENTATIVE_PILOT_EVIDENCE;MARKET_IMPORTANCE_PROXY,VERIFIED_LISTING_SNAPSHOT,"[{""effective_from"":""2007-11-15"",""effective_to"":null,""evidence_id"":""REPRESENTATIVE_PILOT_LISTING_DATE"",""exchange"":""HOSE"",""ticker"":""HPG""}]",2007-11-15,2011-09-23,2026-09-23,MAX_15Y_BOUNDARY,189,189,NO,YES,
